fly	fname	condition	segment	location	fraction
27	flytrax20190111_172208.csv	non-rewarded	test100	at_center	0.022132796780684104
28	flytrax20190111_190138.csv	rewarded	test100	at_center	0.0
29	flytrax20190111_192056.csv	rewarded	test100	at_center	0.006
30	flytrax20190116_152245.csv	rewarded	test100	at_center	0.006999999999999999
31	flytrax20190116_160702.csv	non-rewarded	test100	at_center	0.0
32	flytrax20190116_163246.csv	non-rewarded	test100	at_center	0.08765432098765433
33	flytrax20190116_180834.csv	rewarded	test100	at_center	0.096
34	flytrax20190116_192744.csv	rewarded	test100	at_center	0.0
35	flytrax20190118_164239.csv	non-rewarded	test100	at_center	0.0
36	flytrax20190118_171511.csv	non-rewarded	test100	at_center	0.04204204204204205
37	flytrax20190118_181417.csv	non-rewarded	test100	at_center	0.004004004004004004
38	flytrax20190119_171903.csv	non-rewarded	test100	at_center	0.0
39	flytrax20190119_174549.csv	non-rewarded	test100	at_center	0.049
0	flytrax20181123_114304.csv	rewarded	after_relocation	at_fictive_reward	0.019227713332273955
0	flytrax20181123_114304.csv	rewarded	baseline	at_fictive_reward	0.0
0	flytrax20181123_114304.csv	rewarded	relocation	at_fictive_reward	0.0
0	flytrax20181123_114304.csv	rewarded	stimulation	at_fictive_reward	0.5122723673792557
0	flytrax20181123_114304.csv	rewarded	post-stim	at_fictive_reward	0.2407407407407408
1	flytrax20181123_152457.csv	rewarded	after_relocation	at_fictive_reward	0.0061310782241014794
1	flytrax20181123_152457.csv	rewarded	baseline	at_fictive_reward	0.0
1	flytrax20181123_152457.csv	rewarded	relocation	at_fictive_reward	0.0
1	flytrax20181123_152457.csv	rewarded	stimulation	at_fictive_reward	0.2877906976744186
1	flytrax20181123_152457.csv	rewarded	post-stim	at_fictive_reward	0.2682526661197703
3	flytrax20181123_162408.csv	rewarded	after_relocation	at_fictive_reward	0.025600282485875703
3	flytrax20181123_162408.csv	rewarded	baseline	at_fictive_reward	0.2175675675675676
3	flytrax20181123_162408.csv	rewarded	relocation	at_fictive_reward	0.0
3	flytrax20181123_162408.csv	rewarded	stimulation	at_fictive_reward	0.2592920353982301
3	flytrax20181123_162408.csv	rewarded	post-stim	at_fictive_reward	0.06687898089171974
4	flytrax20181127_162328.csv	rewarded	after_relocation	at_fictive_reward	0.10674525212835624
4	flytrax20181127_162328.csv	rewarded	baseline	at_fictive_reward	0.010269856877526492
4	flytrax20181127_162328.csv	rewarded	relocation	at_fictive_reward	0.0
4	flytrax20181127_162328.csv	rewarded	stimulation	at_fictive_reward	0.5562859490550535
4	flytrax20181127_162328.csv	rewarded	post-stim	at_fictive_reward	0.5208791208791209
