at_center	at_fictive_reward	at_reward	condition	cum_dist_seg_cm	fly	fname	segment	tseg
0.0	0.0	0.022601707684580613	non-rewarded	212.92217722507544	13	flytrax20181211_185727.csv	after_relocation	202.375
0.01896143072613661	0.00021547080370609784	0.00021547080370609784	non-rewarded	423.0778518695085	13	flytrax20181211_185727.csv	baseline	469.0938334465027
0.0	0.0	0.0	non-rewarded	11.42893130290341	13	flytrax20181211_185727.csv	relocation	1.2967002391815186
0.0	0.012446958981612449	0.012446958981612449	non-rewarded	389.5335132508982	13	flytrax20181211_185727.csv	stimulation	361.0002002716065
0.0	0.0	0.0	non-rewarded	48.473940225009315	13	flytrax20181211_185727.csv	post-stim	38.000100135803216
0.0	0.0	0.0	non-rewarded	494.3974331259571	14	flytrax20181211_192052.csv	after_relocation	596.8024001121521
0.0	0.0	0.0	non-rewarded	1053.6006455105664	14	flytrax20181211_192052.csv	baseline	1317.605499982834
0.16666666666666666	0.0	0.0	non-rewarded	9.719448919049473	14	flytrax20181211_192052.csv	relocation	1.100555181503296
0.0	0.9565217391304348	0.9565217391304348	non-rewarded	4.1755318951851335	14	flytrax20181211_192052.csv	stimulation	2.200599908828736
0.0	0.0	0.0	non-rewarded	2.8026912050523247	14	flytrax20181211_192052.csv	post-stim	1.9042220115661617
0.0	0.002013693113169553	0.0	non-rewarded	389.9761963109702	15	flytrax20181212_193040.csv	after_relocation	496.4740998744965
0.017875798026697618	0.006500290191526407	0.006500290191526407	non-rewarded	721.5589155842972	15	flytrax20181212_193040.csv	baseline	861.3987998962402
0.0	0.0	0.0	non-rewarded	7.7476312254558	15	flytrax20181212_193040.csv	relocation	1.2031445503234863
0.0	0.9615384615384616	0.9615384615384616	non-rewarded	6.121976344387	15	flytrax20181212_193040.csv	stimulation	5.105299472808838
0.0	0.0	0.0	non-rewarded	94.69199866605713	15	flytrax20181212_193040.csv	post-stim	102.20250010490416
0.016616878267363706	0.0028005974607916355	0.020724421209858103	rewarded	608.4085433542961	16	flytrax20181214_174232.csv	after_relocation	535.4758331775665
0.004511278195488722	0.006416040100250628	0.006416040100250628	rewarded	814.4879698767908	16	flytrax20181214_174232.csv	baseline	999.6020004749298
0.0	0.0	0.0	rewarded	6.943865741711483	16	flytrax20181214_174232.csv	relocation	1.1055994033813477
0.0075290896646132794	0.39698836413415467	0.39698836413415467	rewarded	145.621026641173	16	flytrax20181214_174232.csv	stimulation	146.0019996166229
0.0	0.3807266982622433	0.3807266982622433	rewarded	81.55623760341213	16	flytrax20181214_174232.csv	post-stim	63.196900129318244
0.0029550827423167852	0.019109535066981875	0.01989755713159969	non-rewarded	470.76137807649735	17	flytrax20181217_192137.csv	after_relocation	512.9619994163513
