cum_dist,t,timestamp,frame,x_px,y_px,led_1
3548.0,494.8,1543940265.4778888,43589007.0,593.4555555555556,308.56666666666666,0.0
3550.0,494.90000000000003,1543940265.5730996,43589016.5,591.7,307.28000000000003,0.0
3552.0,495.0,1543940265.6738997,43589026.5,590.24,305.87,0.0
3554.0,495.1,1543940265.774,43589036.5,589.4200000000001,304.19999999999993,0.0
3556.0,495.20000000000005,1543940265.8747997,43589046.5,589.1700000000001,302.33000000000004,0.0
3558.0,495.3,1543940265.975,43589056.5,589.26,300.35,0.0
3560.0,495.40000000000003,1543940266.0760999,43589066.5,589.38,298.53000000000003,0.0
3562.0,495.5,1543940266.176,43589076.5,589.86,296.82000000000005,0.0
3564.0,495.6,1543940266.2768002,43589086.5,590.4300000000001,295.05,0.0
3566.0,495.75,1543940266.4274502,43589101.5,590.64,292.225,0.0
3568.0,495.90000000000003,1543940266.578,43589116.5,589.85,289.97999999999996,0.0
3570.0,497.35,1543940268.0276332,43589260.71428572,588.6229581529584,289.27362193362194,0.0
3572.0,498.85,1543940269.5229998,43589409.5,587.925,288.87,0.0
3574.0,499.0,1543940269.6739998,43589424.5,586.06,289.07000000000005,0.0
3576.0,499.1,1543940269.774,43589434.5,584.3100000000001,289.4,0.0
3578.0,499.20000000000005,1543940269.875,43589444.5,582.24,288.96999999999997,0.0
3580.0,499.3,1543940269.975,43589454.5,580.23,287.59000000000003,0.0
3582.0,499.40000000000003,1543940270.0759997,43589464.5,578.3199999999999,285.68999999999994,0.0
3586.0,499.5,1543940270.1764002,43589474.5,576.5899999999999,283.63,0.0
3588.0,499.6,1543940270.277,43589484.5,574.8000000000001,281.44,0.0
3590.0,499.70000000000005,1543940270.3770003,43589494.5,573.42,279.13,0.0
3594.0,499.8,1543940270.478,43589504.5,571.9,276.83000000000004,0.0
3596.0,499.90000000000003,1543940270.578,43589514.5,570.4300000000001,274.57000000000005,0.0
3598.0,500.0,1543940270.6789002,43589524.5,569.3,272.28,0.0
3602.0,500.1,1543940270.7791,43589534.5,568.01,270.18,0.0
3604.0,500.20000000000005,1543940270.8799999,43589544.5,566.3199999999999,268.64,0.0
3606.0,500.3,1543940270.9802003,43589554.5,564.65,267.58000000000004,0.0
3608.0,500.40000000000003,1543940271.081,43589564.5,562.8600000000001,266.31000000000006,0.0
3610.0,500.5,1543940271.176,43589574.0,561.3666666666666,265.02222222222224,0.0
3612.0,500.6,1543940271.2770002,43589584.0,560.9090909090909,263.3636363636364,0.0
3614.0,500.75,1543940271.4250555,43589598.75,561.1077777777778,260.93888888888887,0.0
3616.0,500.90000000000003,1543940271.5729997,43589613.5,561.81,258.85,0.0
3618.0,501.0,1543940271.6739998,43589623.5,562.3100000000002,257.54,0.0
3620.0,501.15000000000003,1543940271.8245997,43589638.5,562.9300000000001,255.07,0.0
3622.0,501.3,1543940271.9753,43589653.5,563.6799999999998,252.33,0.0
3626.0,501.40000000000003,1543940272.0759997,43589663.5,564.03,250.12999999999997,0.0
3628.0,501.5,1543940272.1761003,43589673.5,564.03,248.07,0.0
3630.0,501.6,1543940272.2771,43589683.5,564.01,246.1,0.0
3632.0,501.75,1543940272.4278002,43589698.5,564.26,243.20999999999998,0.0
3634.0,501.90000000000003,1543940272.5781002,43589713.5,563.7499999999999,241.32999999999998,0.0
3636.0,502.05,1543940272.7290502,43589728.5,562.005,240.39999999999998,0.0
3638.0,502.20000000000005,1543940272.8799999,43589743.5,559.9699999999999,240.62999999999997,0.0
3640.0,502.3,1543940272.9801002,43589753.5,558.3500000000001,241.03999999999996,0.0
3642.0,502.40000000000003,1543940273.081,43589763.5,556.54,241.71999999999997,0.0
3644.0,502.5,1543940273.1761115,43589773.0,554.7333333333333,242.13333333333333,0.0
3646.0,502.6,1543940273.2770002,43589783.0,552.8272727272728,242.29999999999998,0.0
